algoritmo,execTime,numNodes,numEdges
TemporalRI,1.33,90,1169
TemporalRI,1.463,91,862
TemporalRI,1.339,92,1161
TemporalRI,1.477,93,1088
TemporalRI,1.326,94,894
TemporalRI,1.466,95,992
TemporalRI,1.665,96,1060
TemporalRI,1.724,97,1281
TemporalRI,1.694,98,1234
TemporalRI,1.434,99,1248
