nome, nels,runtime_leaves, runtime_tot, bandwidth
./sorting_stablecounting_parallel_merge, 14155776,10.1395, 42.8804, 698.4
./sorting_stablecounting_parallel_merge, 14680064,10.3117, 43.8434, 708.749
./sorting_stablecounting_parallel_merge, 15204352,10.8913, 46.1977, 698.645
./sorting_stablecounting_parallel_merge, 15728640,11.051, 47.1269, 708.771
./sorting_stablecounting_parallel_merge, 16252928,11.6388, 49.476, 699.686
./sorting_stablecounting_parallel_merge, 16777216,12.0192, 50.7307, 707.294
./sorting_stablecounting_parallel_merge, 17301504,12.1549, 53.8499, 718.366
./sorting_stablecounting_parallel_merge, 17825792,12.7668, 56.2492, 710.982
./sorting_stablecounting_parallel_merge, 18350080,10.1726, 46.6502, 873.953
./sorting_stablecounting_parallel_merge, 18874368,10.5185, 48.1258, 873.39
./sorting_stablecounting_parallel_merge, 19398656,10.7568, 49.3104, 877.05
./sorting_stablecounting_parallel_merge, 19922944,14.2668, 62.7275, 717.747
./sorting_stablecounting_parallel_merge, 20447232,14.5114, 63.5824, 728.598
./sorting_stablecounting_parallel_merge, 20971520,15.0142, 66.0169, 720.057
./sorting_stablecounting_parallel_merge, 21495808,15.0953, 66.8972, 727.736
./sorting_stablecounting_parallel_merge, 22020096,15.7636, 69.4794, 719.95
./sorting_stablecounting_parallel_merge, 22544384,16.1362, 70.7501, 725.979
./sorting_stablecounting_parallel_merge, 23068672,16.1984, 71.6898, 732.109
./sorting_stablecounting_parallel_merge, 23592960,16.8878, 74.4593, 722.652
./sorting_stablecounting_parallel_merge, 24117248,17.2683, 75.7404, 728.275
./sorting_stablecounting_parallel_merge, 24641536,16.8138, 74.67, 752.979
./sorting_stablecounting_parallel_merge, 25165824,16.8554, 75.1918, 763.613
./sorting_stablecounting_parallel_merge, 25690112,17.2032, 77.3191, 757.362
./sorting_stablecounting_parallel_merge, 26214400,16.5028, 74.6354, 800.132
./sorting_stablecounting_parallel_merge, 26738688,14.8246, 68.5071, 884.815
./sorting_stablecounting_parallel_merge, 27262976,15.1919, 70.1571, 882.11
./sorting_stablecounting_parallel_merge, 27787264,19.8889, 88.4471, 721.616
./sorting_stablecounting_parallel_merge, 28311552,16.3144, 74.8729, 861.722
./sorting_stablecounting_parallel_merge, 28835840,16.7425, 76.7625, 857.223
./sorting_stablecounting_parallel_merge, 29360128,16.4014, 75.7868, 883.061
./sorting_stablecounting_parallel_merge, 29884416,16.6931, 77.3619, 880.722
./sorting_stablecounting_parallel_merge, 30408704,17.0803, 79.0695, 877.971
./sorting_stablecounting_parallel_merge, 30932992,17.2769, 80.0573, 882.728
./sorting_stablecounting_parallel_merge, 31457280,17.6682, 81.8161, 879.409
./sorting_merging_parallel_merge, 524288,0.104768, 0.805984, 681.888
./sorting_merging_parallel_merge, 1048576,0.204672, 1.73104, 714.454
./sorting_merging_parallel_merge, 1572864,0.38752, 3.3103, 620.344
./sorting_merging_parallel_merge, 2097152,0.514336, 4.4879, 620.664
./sorting_merging_parallel_merge, 2621440,0.641184, 5.80861, 648.998
./sorting_merging_parallel_merge, 3145728,0.768672, 7.05472, 648.106
./sorting_merging_parallel_merge, 3670016,0.895392, 8.30918, 647.712
./sorting_merging_parallel_merge, 4194304,1.02394, 9.57005, 647.836
./sorting_merging_parallel_merge, 4718592,1.1504, 11.2083, 665.658
./sorting_merging_parallel_merge, 5242880,1.25338, 12.2838, 679.03
./sorting_merging_parallel_merge, 5767168,1.40358, 13.7346, 672.27
./sorting_merging_parallel_merge, 6291456,1.53178, 15.0103, 674.694
./sorting_merging_parallel_merge, 6815744,1.65888, 16.387, 672.326
./sorting_merging_parallel_merge, 7340032,1.7879, 17.6833, 674.035
./sorting_merging_parallel_merge, 7864320,1.91293, 18.9364, 677.264
./sorting_merging_parallel_merge, 8388608,2.03981, 20.3459, 674.531
./sorting_merging_parallel_merge, 8912896,2.12675, 22.2281, 696.11
./sorting_merging_parallel_merge, 9437184,2.29494, 23.8265, 690.558
./sorting_merging_parallel_merge, 9961472,2.37568, 24.8051, 702.1
./sorting_merging_parallel_merge, 10485760,2.54979, 26.4505, 695.765
./sorting_merging_parallel_merge, 11010048,2.2632, 24.2692, 795.847
./sorting_merging_parallel_merge, 11534336,2.39872, 25.6342, 791.895
./sorting_merging_parallel_merge, 12058624,2.47654, 26.5981, 799.658
./sorting_merging_parallel_merge, 12582912,3.05766, 31.8805, 700.146
./sorting_merging_parallel_merge, 13107200,3.1857, 33.191, 702.326
./sorting_merging_parallel_merge, 13631488,3.31322, 34.8238, 697.191
./sorting_merging_parallel_merge, 14155776,3.43859, 36.0541, 701.086
./sorting_merging_parallel_merge, 14680064,3.56614, 37.5332, 699.664
./sorting_merging_parallel_merge, 15204352,3.69418, 38.86, 701.439
./sorting_merging_parallel_merge, 15728640,3.82138, 40.3869, 699.28
./sorting_merging_parallel_merge, 16252928,3.94848, 41.3948, 706.989
./sorting_merging_parallel_merge, 16777216,4.07514, 43.2064, 699.707
