Benin	204	DHS	02/01/2018	5.19	9.78	23.56	29.10	37.56	24.88	0.96	85.05	19.60	14.00	79.12	81.89	83.89	24.54	18.28	17.38	12.83	18.37	13.50	18.87	13.85	2.50	3.15	2.96	3.53	2.02	9.78	3.51	35.43	10.66	8.32	2.34	36.34	4.28	0.00	49.60	23.89	15.99	4.31
Mali	466	DHS	27/09/2018	5.81	3.11	20.29	30.32	46.28	17.39	0.73	86.49	20.35	12.54	87.47	89.90	91.67	26.15	16.64	21.43	13.14	22.25	13.61	22.79	13.99	2.97	3.39	3.45	3.75	2.17	3.11	4.82	46.73	8.23	7.50	0.74	34.37	2.73	0.01	59.78	23.07	14.93	3.04
